12/10/2021-15:20:43.494474  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60414 -> 10.0.4.20:80
12/10/2021-15:20:46.887855  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60432 -> 10.0.4.20:80
12/10/2021-15:20:34.067873  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.4.20:80 -> 10.0.0.20:60372
12/10/2021-15:20:34.481200  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60374 -> 10.0.4.20:80
12/10/2021-15:20:40.541138  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60400 -> 10.0.4.20:80
12/10/2021-15:20:49.434459  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60444 -> 10.0.4.20:80
12/10/2021-15:20:47.324688  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60434 -> 10.0.4.20:80
12/10/2021-15:20:34.901207  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60376 -> 10.0.4.20:80
12/10/2021-15:20:35.334534  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60378 -> 10.0.4.20:80
12/10/2021-15:20:50.471168  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60448 -> 10.0.4.20:80
12/10/2021-15:20:35.751133  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60380 -> 10.0.4.20:80
12/10/2021-15:20:48.171469  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60438 -> 10.0.4.20:80
12/10/2021-15:20:41.804497  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60406 -> 10.0.4.20:80
12/10/2021-15:20:53.427812  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60462 -> 10.0.4.20:80
12/10/2021-15:20:48.591155  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60440 -> 10.0.4.20:80
12/10/2021-15:20:37.017895  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60388 -> 10.0.4.20:80
12/10/2021-15:20:42.651181  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60410 -> 10.0.4.20:80
12/10/2021-15:20:39.274540  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60394 -> 10.0.4.20:80
12/10/2021-15:20:54.694538  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60468 -> 10.0.4.20:80
12/10/2021-15:20:43.071215  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60412 -> 10.0.4.20:80
12/10/2021-15:20:50.047874  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60446 -> 10.0.4.20:80
12/10/2021-15:20:40.117890  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60398 -> 10.0.4.20:80
12/10/2021-15:20:40.961164  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60402 -> 10.0.4.20:80
12/10/2021-15:20:45.604549  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60426 -> 10.0.4.20:80
12/10/2021-15:20:42.227840  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60408 -> 10.0.4.20:80
12/10/2021-15:21:02.521159  [**] [1:2221010:1] SURICATA HTTP unable to match response to request [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.4.20:80 -> 10.0.0.20:60508
12/10/2021-15:20:46.031211  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60428 -> 10.0.4.20:80
12/10/2021-15:20:54.271149  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60466 -> 10.0.4.20:80
12/10/2021-15:21:08.591208  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60534 -> 10.0.4.20:80
12/10/2021-15:20:46.454471  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60430 -> 10.0.4.20:80
12/10/2021-15:20:55.971300  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60474 -> 10.0.4.20:80
12/10/2021-15:20:50.894517  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60450 -> 10.0.4.20:80
12/10/2021-15:20:47.744551  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60436 -> 10.0.4.20:80
12/10/2021-15:20:51.744470  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60454 -> 10.0.4.20:80
12/10/2021-15:20:49.011151  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:60442 -> 10.0.4.20:80
