12/09/2021-16:16:09.936511  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56332 -> 10.0.4.20:80
12/09/2021-16:15:49.983267  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56314 -> 10.0.4.20:80
12/09/2021-16:16:01.066567  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56324 -> 10.0.4.20:80
12/09/2021-16:15:10.126587  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56270 -> 10.0.4.20:80
12/09/2021-16:16:03.283168  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56326 -> 10.0.4.20:80
12/09/2021-16:16:14.366572  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56336 -> 10.0.4.20:80
12/09/2021-16:16:16.583220  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56338 -> 10.0.4.20:80
12/09/2021-16:16:07.719894  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56330 -> 10.0.4.20:80
12/09/2021-16:16:23.236564  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56344 -> 10.0.4.20:80
12/09/2021-16:15:21.189781  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56284 -> 10.0.4.20:80
12/09/2021-16:16:18.239967  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:b85a:d8ff:fe66:2cdf:133 -> ff02:0000:0000:0000:0000:0000:0000:0002:0
12/09/2021-16:15:23.406520  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56286 -> 10.0.4.20:80
12/09/2021-16:16:18.803236  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56340 -> 10.0.4.20:80
12/09/2021-16:16:27.669844  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56348 -> 10.0.4.20:80
12/09/2021-16:16:21.019900  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56342 -> 10.0.4.20:80
12/09/2021-16:15:30.053237  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56292 -> 10.0.4.20:80
12/09/2021-16:15:34.479840  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56298 -> 10.0.4.20:80
12/09/2021-16:16:25.456523  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56346 -> 10.0.4.20:80
12/09/2021-16:15:47.773236  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56312 -> 10.0.4.20:80
12/09/2021-16:15:52.199905  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56316 -> 10.0.4.20:80
12/09/2021-16:15:54.416561  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56318 -> 10.0.4.20:80
12/09/2021-16:15:56.633253  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56320 -> 10.0.4.20:80
12/09/2021-16:16:12.153232  [**] [1:2221042:1] SURICATA HTTP Request line incomplete [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 10.0.0.20:56334 -> 10.0.4.20:80
